CQ Identifier,Ontology Story,CQ,Duplication / Note,SPARQL ID,Link to SPARQL Query in GitHub Repository
1a.01,"A product contains a substance of concern, that hinders its recycling, and does not comply with the ESPR regulation. An authority that should decide on the product's compliance with respect to regulations needs to know the details of the product composition, materials and substances to determine its compliance.",Does the product contain substances of concern?,,SPARQL_1,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_1.sparql
1a.02,,"If the product contains at least one substance of concern, how many and what kind of substances of concern?",,"SPARQL_2
SPARQL_3",https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_2.sparql https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_3.sparql
1a.03,,What is the detailed breakdown of chemical composition of those substances?,,,
1c.01,"A product contains a substance of concern, that hinders its recycling, and does not comply with the ESPR regulation. A consumer wants to know if this products contains substances of concern.",Does the product contain substances of concern?,same as 1a.01,,
1c.02,,"If the product contains at least one substance of concern, how many and what kind of substances of concern?",same as 1a.02,,
1v.01,"A product contains a substance of concern, that hinders its recycling, and does not comply with the ESPR regulation. A value chain actor of this product wants to know if this products contains substances of concern, and if so, which kind of substances of concern.",Does the product contain substances of concern?,same as 1a.01,,
1v.02,,"If the product contains at least one substance of concern, how many and what kind of substances of concern?",same as 1a.02,,
2a.01,"A product enters the market. An authority wants to check if the producer/manufacturer complies with the EPR regulation, meaning that producers have to pay the full costs of dealing with the waste they produce from when it is placed onto the market, through to the end of its life. ","What are the full costs of dealing with the waste the producers produce from when their product(s) is/are placed onto the market, through to the end of its life?",left for future research,,
2a.02,,Are the full costs of dealing with the waste already payed by the producer?,left for future research,,
2c.01,"A product enters the market. A consumer wants to check if the producer/manufacturer complies with the EPR regulation, meaning that producers have to pay the full costs of dealing with the waste they produce from when it is placed onto the market, through to the end of its life.",Are the full costs of dealing with the waste already payed by the producer?,same as 2a.02,,
2v.01,"A product enters the market. The producer wants to check if he complies with the EPR regulation, meaning that producers have to pay the full costs of dealing with the waste they produce from when it is placed onto the market, through to the end of its life.","What are the full costs of dealing with the waste the producers produce from when their product(s) is/are placed onto the market, through to the end of its life?",same as 2a.01,,
2v.02,,Are the full costs of dealing with the waste already payed by the producer?,same as 2a.02,,
3a.01,"A product needs to be repaired. An authority wants to check if the seller of this product complies with the ""Right to Repair"" regulation in order to fine the respective seller if it does not comply with it.",Is this product still covered by the legal guarantee?,,SPARQL_4,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_4.sparql
3a.02,,What information does the seller (or another value chain actor) provide to the consumers on how to repair the product?,,SPARQL_5,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_5.sparql
3c.01,"A product needs to be repaired. A consumer wants to check whether the product is still covered by the legal guarantee, and if not, he or she wants information on how to repair the product himself or herself.",Is this product still covered by the legal guarantee?,same as 3a.01,,
3c.02,,What information does the seller (or another value chain actor) provide to the consumers on how to repair the product?,same as 3a.02,,
3v.01,"A product needs to be repaired. The seller of the product wants to check whether the product is still covered by the legal guarantee, and if not, the seller wants to provide infomation on to the consumer on how to repair this product.",Is this product still covered by the legal guarantee?,same as 3a.01,,
3v.02,,What information does the seller (or another value chain actor) provide to the consumers on how to repair the product?,same as 3a.02,,
4a.01,"A product got repaired by a person working for a rapairing company. The DPP got updated including the information of who repaired this product. An authority wants to check if there is personal infomation included in the respective DPP and if so, if this information is protected in the sense of the GDPR.",Is there personal information included in the DPP?,left for future research,,
4a.02,,Is the personal information added to the DPP properly protected in the sense of the GDPR or at least anonymized?,left for future research,,
4c.01,A product got repaired by the consumer itself. The consumer updates the DPP including the information of who repaired this product. The consumer wants to ensure that this information is protected in the sense of the GDPR.,Is the personal information added to the DPP properly protected in the sense of the GDPR or at least anonymized?,same as 4a.02,,
4v.01,A product got rapaired by a person working for a rapairing company. The company updated the DPP including the information of who repaired this product. The company wants to ensure that this information is protected in the sense of the GDPR.,Is the personal information added to the DPP properly protected in the sense of the GDPR or at least anonymized?,same as 4a.02,,
5v.01,"One or more actors can be responsible for a certain piece of information in a DPP. Those are the only actors that can add, change or replace that information. The responsibility may depend on their role in the value chain or ownership of the product.",Who/what actor is responsible for what set of information in a DPP?,,SPARQL_6,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_6.sparql
6v.01,"An actor that has provided some data included in a DPP can go back and change that data later on. Another actor can see who is the provider of that information, and when it was added and updated. Nothing can be deleted from a DPP, only marked as obsolete.",Who added/changed the DPP information?,,SPARQL_7,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_7.sparql
6v.02,,When was the information added/changed?,,SPARQL_8,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_8.sparql
7v.01,"A manufacturer wants to share additional information regarding one of his products in order to prove a specific statement (e.g., recycleability of the product).",What kind of additional information is provided (in terms of data source type)?,,SPARQL_9,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_9.sparql
7v.02,,Where to find this additional information?,,SPARQL_10,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_10.sparql
8a.01,"A new product has been released to the market. The product contains several components, where the DPP information is provided by several actors. An authority wants to check its publicly available information which is accessible via its DPP.",What is the complete public content of the DPP?,left for future research,,
8c.01,"A new product has been released to the market. The product contains several components, where the DPP information is provided by several actors. A consumer wants to check its publicly available information which is accessible via its DPP.",What is the complete public content of the DPP?,same as 8a.01,,
8v.01,"A product contains several components, where the DPP information is provided by several actors. An actor wants to check the  information which is accessible to this specific actor via the product's DPP.",What is the complete content of the DPP from the viewpoint of this value chain actor?,left for future research,,
9a.01,An authority wants to check/verify the DPP information provided by the value chain actors for a specific product.,What part of the data has been verified?,left for future research,,
9a.02,,What methodology was used to verify the data?,left for future research,,
9c.01,A consumer wants to check/verify the DPP information provided by the value chain actors for a specific product they are considering to buy.,What part of the data has been verified?,same as 9a.01,,
9v.01,A value chain actor wants to check/verify the DPP information provided by another value chain actor for a specific product.,What part of the data has been verified?,same as 9a.01,,
9v.02,,What methodology was used to verify the data?,same as 9a.02,,
10.v.01,"A new and very speficic product enters the market, The producer/manufacturer wants to provide the respective information for this product via its DPP. But the ontology/data model does not allow to provide a specific piece of information. So, the employee of the producer has to understand the existing ontology in order to extend it and specify it for the new product.",What is the defintion and axiomization of the ontology?,left for future research,,
10.v.02,,What are the consequences of extending/changing the ontology?,left for future research,,
11a.01,An authority wants to understand what the information of a product means in order to compare it with other products.,What is the meaning of a specific information within a DPP?,,SPARQL_11,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_11.sparql
11c.01,A consumer wants to understand what the information of a product means in order to compare it with other products.,What is the meaning of a specific information within a DPP?,same as 11a.01,,
11v.01,A value chain actor wants to understand what the information of a product means in order to compare it with other products.,What is the meaning of a specific information within a DPP?,same as 11a.01,,
12v.01,There is already an existing ontology for a specific product that should be re-used because it is already a de-facto standard and it would be very time-consuming to model it again as an extension of the DPP ontology / ODPs. An employee of the product's producer wants to to use this de-facto standard ontology and therefore wants to integrate it into the DPP ontology.,What is the potential overlap or connection between the existing ontology and the DPP ontology?,left for future research,,
12v.02,,What are the consequences of integrating the existing ontology into the DPP ontology?,left for future research,,
13v.01,"A product changes over time (e.g., because it got refurbished by the manufacturer). Thus, the product attributes change. The producer wants to update the product attributes of this product. But he cannot add all the information because the ""old"" DPP ontology module does not cover all the new, additional aspects. So, the producer wants to adapt the DPP ontology module in order to cover the new specifications of the rufurbished product.",What are the consequences of changing/adapting the DPP ontology?,left for future research,,
14v.01,"Information was provided by a value chain actor for a specifc product in China. Another value chain actor wants to view the provided DPP infomation, but not in Chinese but in English.","What is the translation of the information of the DPP into the language that is needed (e.g., English, Chinese)?",,SPARQL_12,https://github.com/LiUSemWeb/DPPO/blob/main/sparql/SPARQL_12.sparql
15a.01,An authority wants to view the DPP information of a specific product.,Which and what kind of information can the authority see?,left for future research,,
15a.02,,"Can the authority only view the information, or also comment on it for example?",left for future research,,
15c.01,A consumer wants to view the DPP information of a specific product.,Which and what kind of information can the consumer see?,left for future research,,
15v.01,"A producer wants to view the DPP information of a specific product component (provided by a supplier). Also, the producer wants to change/edit/add the DPP information of this product component because it will be somehow changed.",Which and what kind of information can the producer see?,left for future research,,
15v.02,,"Can the producer only view the information, or can he also change/edit/add the information for the component provided by the supplier?",left for future research,,
